iteration 34:       2norm: 1.071      infinity_norm: 0.464,,,,,,34,
iteration 35:       2norm: 0.702      infinity_norm: 0.305,,,,,,35,
iteration 36:       2norm: 0.628      infinity_norm: 0.243,,,,,,36,
iteration 37:       2norm: 0.867      infinity_norm: 0.364,,,,,,37,
iteration 38:       2norm: 0.535      infinity_norm: 0.231,,,,,,38,
iteration 39:       2norm: 0.506      infinity_norm: 0.203,,,,,,39,
iteration 40:       2norm: 0.688      infinity_norm: 0.3,,,,,,40,
iteration 41:       2norm: 0.411      infinity_norm: 0.172,,,,,,41,
iteration 42:       2norm: 0.411      infinity_norm: 0.173,,,,,,42,
iteration 43:       2norm: 0.534      infinity_norm: 0.231,,,,,,43,
iteration 44:       2norm: 0.32      infinity_norm: 0.132,,,,,,44,
iteration 45:       2norm: 0.337      infinity_norm: 0.147,,,,,,45,
iteration 46:       2norm: 0.41      infinity_norm: 0.181,,,,,,46,
iteration 47:       2norm: 0.253      infinity_norm: 0.098,,,,,,47,
iteration 48:       2norm: 0.281      infinity_norm: 0.126,,,,,,48,
iteration 49:       2norm: 0.312      infinity_norm: 0.141,,,,,,49,
iteration 50:       2norm: 0.202      infinity_norm: 0.078,,,,,,50,
iteration 51:       2norm: 0.237      infinity_norm: 0.109,,,,,,51,
iteration 52:       2norm: 0.236      infinity_norm: 0.109,,,,,,52,
iteration 53:       2norm: 0.164      infinity_norm: 0.06,,,,,,53,
iteration 54:       2norm: 0.202      infinity_norm: 0.094,,,,,,54,
iteration 55:       2norm: 0.179      infinity_norm: 0.084,,,,,,55,
iteration 56:       2norm: 0.133      infinity_norm: 0.05,,,,,,56,
iteration 57:       2norm: 0.172      infinity_norm: 0.08,,,,,,57,
iteration 58:       2norm: 0.135      infinity_norm: 0.065,,,,,,58,
iteration 59:       2norm: 0.108      infinity_norm: 0.04,,,,,,59,
iteration 60:       2norm: 0.145      infinity_norm: 0.068,,,,,,60,
iteration 61:       2norm: 0.103      infinity_norm: 0.048,,,,,,61,
iteration 62:       2norm: 0.087      infinity_norm: 0.034,,,,,,62,
iteration 63:       2norm: 0.12      infinity_norm: 0.056,,,,,,63,
iteration 64:       2norm: 0.078      infinity_norm: 0.037,,,,,,64,
iteration 65:       2norm: 0.07      infinity_norm: 0.028,,,,,,65,
iteration 66:       2norm: 0.097      infinity_norm: 0.046,,,,,,66,
iteration 67:       2norm: 0.059      infinity_norm: 0.027,,,,,,67,
iteration 68:       2norm: 0.057      infinity_norm: 0.025,,,,,,68,
iteration 69:       2norm: 0.077      infinity_norm: 0.036,,,,,,69,
iteration 70:       2norm: 0.046      infinity_norm: 0.02,,,,,,70,
iteration 71:       2norm: 0.046      infinity_norm: 0.02,,,,,,71,
iteration 72:       2norm: 0.06      infinity_norm: 0.029,,,,,,72,
iteration 73:       2norm: 0.036      infinity_norm: 0.015,,,,,,73,
iteration 74:       2norm: 0.038      infinity_norm: 0.018,,,,,,74,
iteration 75:       2norm: 0.046      infinity_norm: 0.022,,,,,,75,
iteration 76:       2norm: 0.028      infinity_norm: 0.011,,,,,,76,
iteration 77:       2norm: 0.032      infinity_norm: 0.015,,,,,,77,
iteration 78:       2norm: 0.035      infinity_norm: 0.017,,,,,,78,
iteration 79:       2norm: 0.023      infinity_norm: 0.009,,,,,,79,
iteration 80:       2norm: 0.027      infinity_norm: 0.013,,,,,,80,
iteration 81:       2norm: 0.026      infinity_norm: 0.013,,,,,,81,
iteration 82:       2norm: 0.018      infinity_norm: 0.007,,,,,,82,
iteration 83:       2norm: 0.023      infinity_norm: 0.011,,,,,,83,
iteration 84:       2norm: 0.02      infinity_norm: 0.01,,,,,,84,
iteration 85:       2norm: 0.015      infinity_norm: 0.006,,,,,,85,
iteration 86:       2norm: 0.019      infinity_norm: 0.01,,,,,,86,
iteration 87:       2norm: 0.015      infinity_norm: 0.007,,,,,,87,
iteration 88:       2norm: 0.012      infinity_norm: 0.005,,,,,,88,
iteration 89:       2norm: 0.016      infinity_norm: 0.008,,,,,,89,
iteration 90:       2norm: 0.011      infinity_norm: 0.006,,,,,,90,
iteration 91:       2norm: 0.01      infinity_norm: 0.004,,,,,,91,
iteration 92:       2norm: 0.013      infinity_norm: 0.007,,,,,,92,
iteration 93:       2norm: 0.009      infinity_norm: 0.004,,,,,,93,
iteration 94:       2norm: 0.008      infinity_norm: 0.003,,,,,,94,
iteration 95:       2norm: 0.011      infinity_norm: 0.005,,,,,,95,
iteration 96:       2norm: 0.007      infinity_norm: 0.003,,,,,,96,
iteration 97:       2norm: 0.006      infinity_norm: 0.003,,,,,,97,
iteration 98:       2norm: 0.009      infinity_norm: 0.004,,,,,,98,
iteration 99:       2norm: 0.005      infinity_norm: 0.002,,,,,,99,
iteration 100:       2norm: 0.005      infinity_norm: 0.002,,,,,,100,
iteration 101:       2norm: 0.007      infinity_norm: 0.003,,,,,,101,
iteration 102:       2norm: 0.004      infinity_norm: 0.002,,,,,,102,
